"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","ccn.ac"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","onKeyDown"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","on pause. game activity"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","sound pause"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","**************************surfaceDestroyed"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","on stop."
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","sound pause"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","on start."
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","on resume."
"<android.view.View: void setVisibility(int)>","8"
"<android.view.View: void setVisibility(int)>","8"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","**************************surfaceCreated"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","**************************surface Changed"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","1977"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","java.lang.String>>>>>>>>>>>>>","1080"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","sniper","setSurfaceSize"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","Mission 1"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","?"
"<android.view.View: void setBackgroundResource(int)>","2130837504"
